product_id,category_id,content,rate,valorization
MLV557077110,MLV5732,"Excelente producto, lo recomiendo.",5,0
MLV557077110,MLV5732,Es buena pero para los vehiculos que tengo (aveo y honda civic) no sirvió.,4,0
MLV557932632,MLV5732,"Precio acorde al producto, el cual es necesario.",5,0
MLV557932632,MLV5732,"Muy buen producto, la verdad que sí funciona.",4,0
MLV557932632,MLV5732,Excelente muy buenos rapido y segur.,5,0
MLV557932632,MLV5732,"Bueno pero la bomba succiona poco, hay que tener mucha paciencia.",4,0
MLV557932632,MLV5732,"Lastimosamente no realiza bien su trabajo para extraer gasolina de un vehiculo, no lo recomiendo.",2,0
MLV557932632,MLV5732,Excelente muy practico. Comodo.,5,0
MLV542719534,MLV5732,"Muy bueno, tomando en cuenta también su precio. Lo recomiendo!.",5,0
MLV542719534,MLV5732,Excelente producto lo recomiendo.,5,0
MLV542719534,MLV5732,Muy buen producto con una tapa de goma de plástico para no dejar pasar los olores adicional a la tapa normal.,5,0
MLV542719534,MLV5732,"No tienen la mejor tapa, pero funcionaron perfecto para la gasolina y cero olor.",4,0
MLV555221386,MLV5732,"Excelente producto, lo recomiendo.",5,0
MLV541443854,MLV5732,"Excelente el productoes tal cual como lo apreciamos en la fotografia, aun no lo e puesto en funcionamiento pero espero sea lo que deseo.",5,1
MLV541443854,MLV5732,Lo he usado hasta ahora bien todo normal !!!!.,4,0
MLV541443854,MLV5732,"Compre dos. Solo le conecté un router y una antena de airtek de internet. Juntos no consumen casi nada. El primero se quemo a la  cuarta o quinta semana, el segundo lo saque a partir que se quemo el primero y llevo dos semanas de uso. El técnico me dijo que x la electrónica que tiene el equipo adentro es imposible que sea de alta carga como dice la etiqueta osea 1500. No lo recomiendo.",2,0
MLV541443854,MLV5732,"Excelente producto, buen precio! tal como se ve en la foto!.",4,0
MLV541443854,MLV5732,Excelente producto. Funciona al 100%.,5,0
MLV560066177,MLV5732,Muy practico. Hdfhdfhfdrgfgfgfg.,3,0
MLV510624947,MLV5732,"De lo mejor que he visto en forros para motos, usan dos materiales, uno externo completamente impermeable, y uno interno muy suave al tacto ideal para no maltratar la pintura, muy buena manufactura de mano de obra venezolana!.",5,1
MLV510624947,MLV5732,"Muy bueno, buen material y acabados.",5,0
MLV510624947,MLV5732,De buena calidad lo tengo montado en una motocicleta a prueba para ver que tan resistente puede llegar ha ser.,4,0
MLV510624947,MLV5732,"Brutal!, muy bueno para mi moto.",5,0
MLV510624947,MLV5732,"Liviano y cumple su cometido, el material se ve muy bueno.",4,0
MLV510624947,MLV5732,"Excelente calidad, las medidas quedaron un poco grandes pero contento con lo que recibi, muy buen forro impermeable para moto.",5,0
MLV510624947,MLV5732,Buena calidad!!! llevo 15 días usándolo y sin ningún problema.,4,0
MLV510624947,MLV5732,Buena el cobertor es muy buena calida.,5,0
MLV510624947,MLV5732,Excelente lo recomiendo. Es la segunda vez que hago la 2da compra del mismo producto.,5,0
MLV510624947,MLV5732,"Excelente cubre la moto por completo el material es de buena calidad, es impermeable, la uso en una skygo executive 250.",5,0
MLV510624947,MLV5732,"Excelente producto, lo recomiendo ampliamente.",5,0
MLV510624947,MLV5732,"Excelente producto, rapido y puntual.",5,0
MLV510624947,MLV5732,"Excelente, producto de acabado insuperable, muy resistente y mejor que los importados. Me resultaron perfectos para mis carros y moto. No los mueve la brisa. De lo mejor que he comprado.",5,0
MLV549290479,MLV5732,Perfecto el producto igual a la imagen la instalación impecable.,5,0
MLV549290479,MLV5732,Recomendado para instalaciones 100%.,5,0
MLV553688180,MLV5732,Excelente producto de buena calidad.,5,0
MLV553688180,MLV5732,"Muy bien, lo recomiendo, muy bueno el material.",5,0
MLV553688180,MLV5732,Excelentes los cables para recargar baterias de vehiculos. Estoy muy satisfecha.,5,0
MLV553688180,MLV5732,Lo recomiendo muy bueno justo lo que queria.,5,0
MLV545589696,MLV5732,Me pareció que el producto es muy bueno. -.,5,0
MLV545589696,MLV5732,Todo bien en perfecto estado recomendado.,5,0
MLV545589696,MLV5732,Excelente producto de calidad lo recomiendo.,5,0
MLV557225107,MLV5732,Excelente confiable al 100% recomendado.,5,0
MLV513679458,MLV5732,Estaba en óptimas condiciones lo utilice y era lo q esperaba.,5,5
MLV513679458,MLV5732,Excelte calidad pareciera. Sin problemas. Hay que esperar en el tiempo para evaluar la durabilidad.,5,4
MLV513679458,MLV5732,"Excelente producto,muy buena calidad sirve tanto para carros y motos también!!.",5,4
MLV513679458,MLV5732,"El producto recibido es el que esperaba, empaque sellado, ya usamos el producto, funciono muy bien.",4,3
MLV513679458,MLV5732,Bueno cumple con la función para la que esta hecha. Buena calidad.,5,2
MLV513679458,MLV5732,Muy buen producto. Es lo que buscaba para mi carro.,5,2
MLV513679458,MLV5732,"Producto original en buen estado, es decir no está reseco y fragua en el tiempo normal.",5,2
MLV513679458,MLV5732,Magnifico producto para sellar todo tipo de empacadura del motor.,4,2
MLV513679458,MLV5732,Silicon de excelente calidad tal cual la descripción.,4,2
