prod_id,cat_id
MPE421346918,MPE444330
MPE429034790,MPE444330
MPE419652275,MPE444330
MPE430634240,MPE444330
MPE420149184,MPE444330
MPE435088589,MPE444330
MPE436709757,MPE444330
MPE440689694,MPE444330
MPE426026686,MPE444330
MPE431484958,MPE444330
MPE428042275,MPE444330
MPE426620334,MPE444330
MPE438700605,MPE444330
MPE439403311,MPE444330
MPE438441788,MPE444330
MPE432868240,MPE444330
MPE418892934,MPE444330
MPE434871648,MPE444330
MPE440637866,MPE444330
MPE440707533,MPE444330
MPE440227463,MPE444330
MPE438718777,MPE444330
MPE440000883,MPE444330
MPE440000991,MPE444330
MPE439821787,MPE444330
MPE432757648,MPE444330
MPE424089501,MPE444330
MPE422952967,MPE444330
MPE436892825,MPE444330
MPE439492083,MPE444330
MPE427477317,MPE444330
MPE438737941,MPE444330
MPE439393245,MPE444330
MPE431417463,MPE444330
MPE430894514,MPE444330
MPE437811866,MPE444330
MPE435771946,MPE444330
MPE435788429,MPE444330
MPE439510498,MPE444330
MPE435447821,MPE444330
MPE439866055,MPE444330
MPE436374350,MPE444330
MPE433096385,MPE444330
MPE433236006,MPE444330
MPE439528727,MPE444330
MPE425861455,MPE444330
MPE428042266,MPE444330
MPE436712614,MPE444330
MPE440332990,MPE444330
MPE435772090,MPE444330
MPE440406832,MPE1403
MPE428913117,MPE1403
MPE431150683,MPE1403
MPE435183936,MPE1403
MPE438460743,MPE1403
MPE439668568,MPE1403
MPE440162613,MPE1403
MPE436407190,MPE1403
MPE439855304,MPE1403
MPE437186292,MPE1403
MPE439889370,MPE1403
MPE439796343,MPE1403
MPE439614725,MPE1403
MPE438937295,MPE1403
MPE426466616,MPE1403
MPE437226828,MPE1403
MPE434243365,MPE1403
MPE439995635,MPE1403
MPE439469381,MPE1403
MPE439817002,MPE1403
MPE440225807,MPE1403
MPE435525309,MPE1403
MPE440291700,MPE1403
MPE439766156,MPE1403
MPE425697991,MPE1403
MPE432717110,MPE1403
MPE439861716,MPE1403
MPE433197011,MPE1403
MPE439478673,MPE1403
MPE431973329,MPE1403
MPE423676021,MPE1403
MPE435278475,MPE1403
MPE440069934,MPE1403
